Age,Income,SpendingScore,ZipCode,Country,IDNumber
60,95000,90.0,40004,USA,127630
70,45000,60.0,10001,France,119358
50,55000,10.0,20002,USA,131207
70,55000,60.0,40004,UK,109942
55,95000,30.0,50005,Germany,136488
40,35000,30.0,20002,USA,135729
60,75000,40.0,10001,Germany,108629
45,55000,60.0,20002,Germany,108545
45,95000,60.0,10001,France,121630
40,85000,50.0,40004,UK,129945
30,85000,40.0,20002,UK,112129
25,55000,20.0,10001,France,105580
40,55000,50.0,30003,Canada,125078
50,95000,20.0,20002,France,139905
35,25000,60.0,10001,USA,117868
50,95000,30.0,20002,UK,110862
70,25000,20.0,10001,UK,111991
60,25000,10.0,40004,France,120015
60,55000,100.0,30003,UK,124207
40,65000,50.0,10001,Germany,129714
60,85000,20.0,20002,USA,108506
55,45000,40.0,50005,Germany,102788
35,65000,10.0,10001,UK,115652
65,95000,50.0,40004,Canada,104291
30,95000,40.0,50005,Canada,110557
60,25000,80.0,40004,Canada,116722
65,65000,10.0,40004,France,107712
35,25000,30.0,40004,UK,105085
50,95000,60.0,10001,Canada,126753
45,85000,100.0,50005,Canada,118983
50,35000,60.0,40004,UK,116008
50,35000,80.0,30003,Germany,109944
45,55000,70.0,50005,USA,138413
70,45000,50.0,40004,Germany,130289
35,35000,100.0,30003,France,131809
25,75000,100.0,50005,USA,117056
65,25000,10.0,20002,UK,115773
70,25000,40.0,10001,Canada,111832
40,95000,10.0,30003,Germany,108616
30,95000,40.0,40004,Germany,126875
60,85000,80.0,40004,France,116731
65,95000,40.0,20002,UK,131656
40,55000,60.0,40004,Canada,133269
55,25000,100.0,20002,UK,119931
50,55000,60.0,10001,USA,113319
60,45000,90.0,40004,Canada,125513
25,85000,90.0,50005,France,133647
40,25000,30.0,40004,Canada,117969
55,85000,80.0,30003,USA,105086
55,95000,80.0,30003,Canada,135908
45,95000,80.0,20002,France,107809
50,35000,30.0,50005,France,100558
50,45000,30.0,20002,Germany,136436
40,65000,100.0,40004,France,112598
70,75000,90.0,50005,USA,132548
50,65000,50.0,10001,Canada,105693
35,45000,80.0,20002,Canada,122022
25,85000,70.0,20002,France,111282
35,25000,30.0,10001,Canada,138688
50,65000,100.0,40004,Germany,134917
30,45000,70.0,20002,UK,110386
70,65000,80.0,30003,Canada,114510
35,55000,50.0,40004,France,104027
70,65000,40.0,40004,Germany,119216
60,75000,80.0,20002,UK,129533
60,85000,10.0,40004,UK,113122
35,55000,30.0,20002,Germany,107991
70,75000,40.0,50005,UK,112657
70,65000,90.0,50005,France,103208
60,95000,100.0,50005,France,109670
55,35000,20.0,10001,USA,117099
25,35000,50.0,50005,UK,125733
35,95000,90.0,50005,USA,112712
30,35000,100.0,40004,USA,112434
50,45000,50.0,20002,Germany,136276
55,35000,50.0,20002,Canada,130128
60,35000,40.0,10001,UK,100010
35,85000,30.0,30003,France,134625
55,45000,70.0,40004,Germany,129676
40,75000,50.0,50005,USA,138992
40,55000,40.0,20002,Germany,132474
40,45000,40.0,20002,Germany,113802
70,25000,70.0,40004,UK,138754
40,45000,30.0,10001,UK,119416
60,45000,30.0,20002,UK,125612
55,25000,30.0,50005,USA,112956
45,55000,40.0,30003,UK,106407
70,95000,10.0,40004,Canada,138729
40,45000,20.0,20002,Canada,105917
65,65000,40.0,50005,USA,116166
30,65000,60.0,30003,Germany,112018
60,75000,50.0,40004,UK,105026
35,75000,40.0,10001,France,111383
30,95000,20.0,10001,USA,139005
25,85000,20.0,40004,Germany,113936
60,85000,20.0,30003,USA,118447
25,85000,100.0,10001,Canada,102835
55,95000,20.0,40004,France,109086
25,75000,100.0,50005,Canada,139031
40,65000,40.0,20002,Germany,137763
25,35000,50.0,40004,Germany,102620
45,55000,10.0,40004,UK,122475
40,95000,20.0,20002,France,129229
35,55000,80.0,40004,Germany,102252
70,55000,90.0,30003,USA,129152
40,95000,100.0,20002,Canada,107243
30,25000,100.0,40004,UK,137717
70,55000,60.0,30003,USA,127139
70,85000,30.0,50005,Canada,137661
60,95000,10.0,40004,Germany,135543
40,35000,40.0,40004,UK,128151
30,75000,30.0,30003,Germany,112692
30,25000,90.0,50005,Germany,125529
45,65000,20.0,10001,USA,117726
40,35000,70.0,40004,USA,111203
65,45000,90.0,20002,Germany,132035
30,25000,20.0,50005,France,102271
45,75000,90.0,30003,UK,114710
30,95000,90.0,50005,USA,108316
55,85000,80.0,40004,France,112603
30,85000,100.0,30003,Canada,130196
65,25000,100.0,10001,UK,123537
70,25000,10.0,30003,Germany,107201
45,55000,100.0,10001,UK,103351
55,35000,40.0,20002,France,126574
60,65000,70.0,20002,Canada,139391
30,35000,90.0,30003,France,128581
60,45000,10.0,40004,France,130743
35,85000,80.0,40004,Canada,135583
30,85000,90.0,50005,USA,100960
55,55000,40.0,30003,UK,136577
65,25000,100.0,40004,Germany,133034
25,45000,100.0,10001,Canada,123237
30,35000,100.0,20002,USA,105959
55,35000,70.0,50005,Canada,135316
60,25000,10.0,40004,France,122369
50,55000,40.0,50005,France,121792
40,25000,60.0,10001,UK,108087
35,45000,30.0,50005,USA,138090
30,85000,30.0,40004,Canada,133962
55,85000,40.0,10001,France,100211
40,35000,10.0,20002,Canada,111291
50,35000,80.0,20002,UK,108930
30,35000,70.0,30003,UK,105098
35,75000,80.0,40004,France,124737
25,35000,10.0,20002,France,109859
55,45000,50.0,50005,UK,122781
25,25000,60.0,50005,Germany,131884
70,45000,10.0,30003,Germany,107756
30,95000,10.0,40004,Germany,117044
65,95000,10.0,20002,UK,111068
65,65000,30.0,10001,Germany,102339
40,25000,70.0,50005,UK,123375
65,55000,100.0,40004,USA,132785
35,75000,70.0,30003,Germany,105141
35,35000,20.0,10001,UK,136375
30,65000,90.0,20002,France,114911
40,45000,100.0,50005,Germany,125863
65,95000,100.0,30003,USA,115776
55,45000,50.0,20002,UK,132223
45,95000,100.0,10001,France,138215
50,25000,10.0,40004,UK,107344
50,85000,90.0,50005,Canada,113046
50,45000,50.0,10001,Canada,137151
40,35000,70.0,50005,Germany,117318
40,25000,20.0,30003,USA,107639
40,75000,80.0,50005,USA,126857
70,75000,40.0,10001,Canada,102055
60,95000,90.0,10001,UK,115895
55,95000,30.0,10001,USA,126084
50,25000,80.0,10001,Canada,106824
35,45000,90.0,20002,USA,101177
25,35000,50.0,50005,UK,101867
70,25000,60.0,40004,Canada,121657
35,55000,20.0,50005,UK,103489
70,75000,30.0,40004,Germany,126399
60,65000,90.0,30003,UK,112252
55,25000,80.0,20002,France,119382
65,85000,20.0,20002,USA,126370
55,35000,70.0,50005,Germany,126955
35,95000,60.0,20002,UK,136610
50,65000,40.0,40004,UK,131992
25,75000,50.0,40004,UK,126533
50,85000,90.0,20002,UK,135610
45,45000,10.0,50005,Germany,128031
35,85000,30.0,30003,Canada,117619
70,75000,70.0,20002,Germany,134136
30,85000,30.0,20002,France,108636
30,65000,50.0,30003,USA,105497
50,65000,10.0,50005,UK,132438
55,35000,100.0,10001,USA,106569
25,85000,70.0,10001,USA,129462
45,45000,60.0,10001,USA,120587
35,35000,10.0,10001,France,129420
60,65000,60.0,20002,France,103594
35,85000,50.0,20002,France,125116
35,45000,70.0,20002,USA,139678
65,25000,10.0,10001,France,136216
45,75000,10.0,40004,Germany,116140
70,45000,100.0,40004,France,121770
50,95000,70.0,30003,Germany,111153
45,85000,70.0,30003,Canada,116100
45,25000,30.0,30003,USA,122829
30,55000,90.0,10001,Canada,105370
30,45000,100.0,40004,UK,102189
40,35000,40.0,30003,USA,119394
55,95000,20.0,10001,Germany,131357
25,85000,100.0,50005,UK,121818
30,25000,70.0,10001,Germany,101656
65,25000,20.0,10001,Canada,115607
35,55000,90.0,10001,Germany,109080
45,55000,20.0,30003,Canada,125304
40,25000,30.0,20002,Germany,132260
70,45000,20.0,30003,USA,103131
60,55000,60.0,10001,France,120386
55,95000,60.0,50005,UK,114370
35,85000,30.0,10001,Canada,139692
30,45000,30.0,40004,Germany,119348
60,55000,100.0,20002,UK,121489
60,95000,40.0,40004,Canada,118222
50,25000,100.0,40004,Germany,106686
65,65000,90.0,10001,France,131400
60,65000,60.0,40004,Germany,124782
55,65000,50.0,30003,UK,123386
60,95000,60.0,10001,France,117411
40,75000,60.0,40004,Canada,113340
60,25000,40.0,20002,UK,112573
35,45000,60.0,40004,USA,103387
55,35000,20.0,40004,Canada,119138
30,85000,70.0,30003,Germany,130508
60,45000,60.0,40004,UK,104504
30,75000,10.0,10001,UK,121797
35,85000,30.0,10001,Canada,129713
25,75000,60.0,10001,UK,115017
35,45000,50.0,30003,Canada,123474
30,95000,40.0,20002,USA,131576
40,45000,50.0,10001,USA,106643
70,95000,60.0,10001,UK,113335
30,45000,60.0,10001,USA,109587
30,45000,100.0,50005,USA,129059
40,45000,40.0,50005,Germany,129893
45,35000,50.0,40004,Canada,138394
55,85000,10.0,40004,Germany,131566
35,55000,30.0,40004,USA,135600
45,85000,100.0,40004,USA,132263
50,35000,30.0,50005,France,112506
45,25000,10.0,30003,France,118246
55,55000,50.0,20002,UK,129902
65,45000,40.0,50005,UK,125773
25,45000,40.0,10001,Germany,113662
35,85000,30.0,20002,France,133489
35,25000,50.0,10001,USA,100084
45,85000,50.0,20002,Germany,134582
60,65000,30.0,10001,Germany,121904
60,75000,20.0,40004,France,133816
45,55000,40.0,20002,France,131061
50,25000,90.0,20002,UK,126723
35,25000,30.0,50005,Canada,116081
60,25000,50.0,20002,UK,127246
55,65000,60.0,30003,France,132469
60,65000,10.0,10001,Canada,135548
70,45000,60.0,40004,UK,112884
25,35000,70.0,20002,France,120630
25,55000,80.0,30003,France,126012
70,25000,10.0,10001,USA,135555
50,45000,20.0,50005,USA,130766
70,65000,60.0,30003,Germany,131366
45,35000,20.0,10001,France,135658
45,85000,40.0,40004,USA,108047
25,95000,80.0,50005,UK,121753
65,25000,90.0,50005,Canada,109843
70,65000,20.0,20002,Canada,109337
45,95000,90.0,10001,France,123191
65,35000,90.0,50005,Canada,131522
70,95000,30.0,20002,USA,106098
50,25000,40.0,40004,USA,123294
65,35000,30.0,40004,France,139653
70,25000,10.0,50005,UK,110920
65,85000,70.0,50005,UK,126196
55,95000,60.0,10001,Germany,116340
45,45000,90.0,10001,Canada,135058
65,95000,80.0,40004,UK,118592
55,35000,60.0,30003,Canada,114099
55,75000,50.0,50005,Germany,100908
40,25000,70.0,50005,Germany,107015
65,55000,10.0,30003,UK,114442
60,55000,10.0,40004,Germany,131525
60,25000,90.0,20002,USA,135116
65,35000,90.0,40004,France,128582
25,75000,50.0,30003,UK,115198
50,65000,90.0,40004,USA,117951
35,55000,80.0,40004,Germany,136468
35,55000,90.0,40004,Germany,121429
55,25000,100.0,30003,France,131819
25,65000,60.0,30003,Germany,113869
40,95000,30.0,50005,Canada,100237
55,25000,70.0,10001,France,107869
65,35000,80.0,40004,Canada,117591
65,25000,50.0,10001,Canada,125455
55,45000,10.0,50005,Germany,115421
55,85000,30.0,30003,Canada,120507
65,45000,60.0,30003,UK,105777
50,85000,100.0,20002,France,118003
30,95000,60.0,10001,France,113645
55,95000,90.0,40004,Germany,105418
45,65000,50.0,40004,Germany,125118
55,25000,60.0,10001,UK,103066
70,65000,50.0,50005,UK,113460
25,95000,40.0,20002,Canada,109170
70,75000,20.0,30003,Canada,114217
40,35000,60.0,40004,France,118866
60,35000,10.0,10001,France,106322
45,55000,50.0,40004,USA,116791
35,45000,20.0,30003,Canada,103724
60,55000,100.0,30003,Canada,105912
40,55000,100.0,10001,Canada,104368
25,95000,80.0,20002,Germany,131139
45,55000,20.0,10001,Germany,104965
35,35000,90.0,40004,Germany,113028
65,25000,40.0,40004,France,117016
40,95000,50.0,20002,Canada,108690
65,55000,70.0,30003,UK,116403
25,65000,10.0,50005,Canada,112806
65,75000,30.0,50005,USA,112849
25,45000,10.0,50005,Canada,113320
40,45000,60.0,20002,UK,111937
35,75000,40.0,10001,France,113915
45,65000,80.0,40004,France,112619
45,85000,100.0,20002,Canada,130291
40,95000,100.0,10001,Canada,115926
40,35000,70.0,10001,UK,102096
55,35000,90.0,40004,USA,124178
25,25000,60.0,10001,France,133337
65,45000,50.0,50005,France,101983
25,55000,10.0,30003,France,134495
30,95000,10.0,40004,UK,116611
50,85000,60.0,20002,France,104984
40,45000,100.0,20002,Germany,126595
40,95000,70.0,30003,UK,106877
40,95000,80.0,10001,France,134502
55,75000,90.0,30003,USA,109132
70,65000,40.0,50005,UK,133298
60,95000,30.0,50005,Germany,109442
30,95000,30.0,30003,France,108717
50,85000,50.0,20002,France,139747
70,45000,10.0,10001,Canada,121027
25,25000,60.0,10001,Germany,106706
45,25000,70.0,10001,UK,109078
55,95000,50.0,40004,Canada,106102
55,75000,40.0,30003,France,120528
65,65000,30.0,20002,USA,120118
60,55000,40.0,20002,USA,112105
35,75000,10.0,10001,France,138912
65,65000,50.0,20002,France,133461
70,75000,80.0,40004,France,133366
40,75000,60.0,40004,Germany,111095
25,85000,20.0,20002,Germany,100674
45,65000,30.0,30003,France,117962
35,25000,30.0,20002,Germany,138064
65,95000,30.0,10001,Canada,124586
30,85000,10.0,20002,UK,117158
35,75000,10.0,30003,Canada,115520
30,75000,20.0,20002,Germany,124338
30,65000,50.0,50005,UK,139706
65,75000,90.0,20002,Germany,120322
65,75000,30.0,20002,France,129522
45,65000,60.0,20002,UK,119017
30,85000,90.0,50005,UK,126098
60,25000,80.0,40004,UK,133459
25,65000,100.0,50005,Canada,129967
45,95000,20.0,50005,Canada,101673
40,95000,60.0,10001,France,114222
25,45000,80.0,10001,USA,110089
55,25000,10.0,10001,USA,104753
40,75000,10.0,50005,Canada,125460
65,95000,90.0,10001,USA,126906
35,65000,80.0,20002,Germany,132945
30,55000,90.0,40004,France,130912
30,45000,10.0,40004,Germany,122660
30,95000,90.0,50005,Canada,127480
35,75000,10.0,40004,France,113190
60,45000,100.0,20002,France,127465
35,85000,70.0,50005,Canada,133076
50,75000,90.0,20002,USA,114124
50,55000,100.0,20002,Germany,118046
60,75000,70.0,50005,France,113258
45,25000,60.0,10001,UK,107952
45,45000,100.0,10001,Canada,114284
40,35000,70.0,50005,Canada,131821
60,45000,80.0,20002,Canada,103882
35,55000,30.0,20002,USA,107954
50,75000,60.0,10001,Germany,114590
70,25000,20.0,40004,UK,136606
35,95000,10.0,50005,UK,115041
60,35000,60.0,40004,Germany,136429
30,65000,60.0,30003,USA,103958
35,65000,50.0,30003,UK,118683
25,45000,40.0,50005,Germany,115809
35,55000,10.0,30003,Germany,139253
30,75000,90.0,50005,USA,129346
70,75000,50.0,40004,USA,110890
45,65000,10.0,40004,UK,138290
55,55000,10.0,40004,France,122934
35,95000,70.0,10001,Germany,123391
70,85000,80.0,40004,France,115002
45,45000,20.0,10001,Germany,139633
65,75000,20.0,20002,UK,125442
45,75000,10.0,20002,USA,126320
25,25000,80.0,10001,USA,121967
35,85000,90.0,30003,UK,106338
70,45000,40.0,10001,Canada,102955
40,25000,50.0,20002,Canada,112905
65,85000,40.0,40004,France,113205
50,25000,50.0,20002,Canada,108562
65,25000,90.0,20002,France,122084
40,65000,10.0,30003,UK,130080
40,85000,80.0,30003,Germany,106741
35,45000,80.0,20002,France,121248
60,55000,50.0,40004,USA,104525
30,25000,70.0,30003,France,118049
65,65000,40.0,20002,Germany,114447
65,45000,90.0,30003,Germany,116671
30,35000,90.0,20002,France,128095
55,25000,80.0,50005,France,138929
35,95000,20.0,50005,UK,106631
25,65000,80.0,10001,USA,128839
50,45000,20.0,40004,Germany,129783
30,55000,70.0,10001,UK,113154
30,85000,50.0,20002,Germany,120596
30,45000,30.0,40004,USA,123913
55,65000,80.0,30003,France,125215
50,45000,40.0,50005,Germany,137828
60,45000,90.0,30003,Germany,108925
50,75000,30.0,40004,USA,120438
65,85000,70.0,40004,France,132458
35,45000,30.0,50005,France,108439
35,35000,20.0,20002,USA,131964
25,95000,70.0,40004,Germany,132569
50,45000,50.0,30003,Canada,132732
50,25000,40.0,10001,UK,116513
40,85000,20.0,30003,Canada,137719
40,65000,10.0,50005,USA,135751
55,95000,70.0,40004,France,114751
30,55000,80.0,20002,France,112160
60,65000,40.0,10001,USA,115170
55,85000,20.0,30003,UK,100495
65,85000,100.0,10001,France,127874
55,95000,20.0,50005,UK,108647
45,75000,30.0,50005,USA,108642
50,35000,20.0,20002,Germany,104091
40,85000,70.0,40004,Germany,122167
35,55000,10.0,10001,Germany,131643
70,95000,10.0,30003,France,102248
50,55000,90.0,10001,UK,104200
30,95000,10.0,20002,Canada,105203
30,45000,40.0,30003,Germany,113262
65,45000,60.0,10001,UK,119877
25,25000,80.0,50005,Canada,105926
25,75000,30.0,10001,UK,128944
60,55000,30.0,30003,USA,102614
40,95000,50.0,30003,USA,106545
25,65000,30.0,40004,UK,119847
65,75000,60.0,30003,Canada,121009
70,45000,70.0,20002,France,106889
45,35000,50.0,10001,Germany,109508
50,35000,40.0,30003,Canada,121392
60,35000,90.0,10001,USA,122695
45,35000,40.0,10001,France,107038
50,65000,80.0,40004,Canada,113053
35,95000,100.0,10001,Canada,116373
60,75000,100.0,30003,Germany,121146
55,95000,90.0,10001,UK,130586
40,75000,80.0,20002,UK,126608
45,75000,70.0,20002,Germany,119222
50,85000,20.0,10001,Germany,133846
30,75000,10.0,30003,UK,132000
45,95000,10.0,20002,Germany,123110
60,45000,40.0,40004,Germany,135190
35,65000,70.0,20002,France,110323
35,45000,20.0,40004,USA,102267
65,45000,20.0,50005,UK,137127
70,65000,70.0,30003,Canada,126839
70,95000,30.0,50005,France,120588
65,55000,40.0,10001,USA,138695
70,25000,90.0,40004,USA,101557
25,95000,70.0,50005,France,125834
70,95000,20.0,10001,Germany,112525
50,55000,20.0,20002,France,124430
60,55000,20.0,30003,Germany,109961
45,25000,80.0,50005,Germany,108628
70,75000,100.0,40004,Canada,137402
55,85000,10.0,50005,Germany,120996
40,35000,80.0,50005,France,138189
60,75000,100.0,10001,Germany,130127
70,65000,80.0,40004,Canada,124547
25,65000,50.0,20002,Germany,100238
25,85000,40.0,10001,Canada,102603
40,55000,90.0,10001,UK,113937
30,55000,50.0,50005,USA,111966
30,35000,90.0,10001,USA,134294
30,55000,80.0,30003,UK,125292
40,55000,60.0,50005,France,134384
30,65000,70.0,20002,UK,105386
50,65000,70.0,20002,France,123316
40,95000,30.0,10001,Germany,130255
65,65000,70.0,10001,USA,124534
25,55000,60.0,30003,USA,109365
35,85000,10.0,40004,USA,131929
30,55000,40.0,20002,USA,101999
40,35000,90.0,20002,France,136832
30,75000,100.0,20002,USA,101723
60,35000,20.0,10001,France,107913
40,85000,40.0,50005,USA,131947
40,45000,100.0,50005,UK,118828
50,95000,70.0,20002,UK,130906
45,35000,50.0,50005,France,107447
50,95000,10.0,30003,France,133784
30,55000,100.0,20002,UK,122742
60,45000,80.0,30003,UK,128188
35,95000,50.0,20002,Canada,110918
40,25000,60.0,40004,Germany,103480
35,55000,70.0,50005,USA,112877
65,95000,50.0,40004,UK,106567
70,45000,60.0,20002,Canada,131703
65,65000,60.0,20002,Canada,117669
40,55000,60.0,10001,Germany,127713
40,45000,70.0,50005,Germany,117448
30,95000,60.0,50005,UK,113933
70,25000,60.0,20002,France,127607
40,45000,90.0,30003,Germany,122837
35,75000,80.0,50005,UK,114719
70,85000,90.0,10001,Canada,107431
35,75000,10.0,30003,France,126709
50,85000,40.0,10001,Canada,114791
60,85000,10.0,20002,USA,136803
45,85000,90.0,30003,France,113272
30,25000,50.0,50005,Germany,116978
60,45000,80.0,20002,Canada,128949
45,95000,30.0,20002,USA,102213
65,45000,90.0,40004,USA,102269
50,95000,50.0,40004,Germany,139597
50,55000,90.0,40004,Germany,102377
70,95000,100.0,30003,Germany,121998
65,35000,80.0,30003,Germany,134106
25,35000,40.0,40004,USA,113160
70,55000,50.0,40004,Canada,139895
60,75000,30.0,50005,France,103001
55,75000,90.0,30003,France,122165
50,85000,100.0,10001,France,123271
60,45000,70.0,50005,Germany,128335
55,55000,20.0,20002,UK,130531
60,35000,20.0,40004,Germany,107400
25,55000,80.0,50005,UK,102922
50,25000,30.0,20002,UK,108218
50,65000,30.0,30003,France,111432
35,35000,60.0,50005,France,107020
65,75000,30.0,10001,France,106056
70,45000,80.0,40004,France,101458
30,45000,100.0,40004,France,105012
50,75000,30.0,30003,Germany,113365
60,45000,40.0,10001,USA,136047
30,25000,60.0,20002,USA,100858
70,35000,80.0,30003,USA,117507
45,25000,30.0,30003,USA,114328
40,55000,70.0,20002,France,120910
65,35000,100.0,20002,France,113603
65,95000,70.0,50005,USA,114610
60,25000,60.0,10001,Canada,115499
70,65000,60.0,50005,USA,111351
30,55000,50.0,50005,France,131715
35,45000,30.0,40004,Canada,130527
50,35000,80.0,50005,Canada,133261
55,25000,100.0,50005,France,135435
50,55000,50.0,10001,France,128662
30,35000,90.0,40004,Germany,118911
50,45000,100.0,30003,Germany,130773
70,75000,70.0,30003,Canada,128225
25,65000,30.0,40004,USA,103229
70,75000,90.0,40004,France,106283
35,55000,80.0,50005,Germany,123569
55,75000,80.0,10001,USA,125640
35,85000,20.0,40004,UK,138312
